Date,Symbol,Company Name,Split Ratio
07/28/2025,CHPT,Chargepoint Holdings Inc,1 : 20
07/28/2025,MRSN,Mersana Therapeutics Inc,1 : 25
07/28/2025,AGRI,Agriforce Growing Systems Ltd.,1 : 9
07/28/2025,VELO,Velo3d Inc,1 : 15
07/28/2025,FOXO,Foxo Technologies Inc,1 : 1.99
07/25/2025,IMNN,Imunon Inc,1 : 15
07/25/2025,VRCA,Verrica Pharmaceuticals Inc,1 : 10
07/22/2025,CNSP,Cns Pharmaceuticals Inc,1 : 12
07/22/2025,PC,Premium Catering (holdings) Ltd.,1 : 9
07/22/2025,GBIO,Generation Bio Co.,1 : 10
07/21/2025,GVH,Globavend Holdings Ltd.,1 : 200
07/21/2025,TWG,Top Wealth Group Holding Ltd.,1 : 90.01
07/21/2025,IVF,Invo Fertility Inc,1 : 3
07/18/2025,CREG,Smart Powerr Corp,1 : 10
07/18/2025,MLGO,Microalgo Inc,1 : 30
07/16/2025,PAPL,Pineapple Financial Inc,1 : 20
07/14/2025,XAIR,Beyond Air Inc,1 : 20
07/14/2025,GORV,Lazydays Holdings Inc,1 : 30
07/14/2025,HTOO,Fusion Fuel Green PLC,1 : 35
07/14/2025,NXTC,Nextcure Inc,1 : 12
07/14/2025,PASG,Passage Bio Inc,1 : 20
07/10/2025,MFI,Mf International Ltd.,1 : 8
07/09/2025,SBDS,Solo Brands Inc,1 : 40
07/08/2025,BNZI,Banzai International Inc,1 : 10
07/07/2025,BIVI,Biovie Inc,1 : 10
07/07/2025,REVB,Revelation Biosciences Inc,1 : 3
07/07/2025,LRHC,La Rosa Holdings Corp,1 : 80
07/07/2025,LVLU,Lulu's Fashion Lounge Holdings Inc,1 : 15
07/07/2025,BGMS,Bio Green Med Solution Inc,1 : 15
07/07/2025,NUWE,Nuwellis Inc,1 : 42
07/03/2025,SPRC,Scisparc Ltd.,1 : 21
07/03/2025,WBX,Wallbox Nv,1 : 20
